Category,Formal_Name,Abbreviation,Definition,Physiological_Basis,Ischaemia_Expected,Congestion_Expected,Clinical_Significance
Combined,Perfusion Index Ratio,PI_Ratio,Ratio of perfusion indices between Red and IR channels: (PI_Red / PI_IR),"Wavelength-dependent penetration depth difference; Red samples superficial (arterial), IR samples deeper (venous) layers",Increase (Red PI drops more than IR PI due to arterial occlusion),Decrease (IR PI drops more than Red PI due to venous congestion),Differentiates arterial vs venous pathology
Combined,Amplitude Ratio,Amplitude_Ratio,Ratio of AC amplitudes between Red and IR channels: (Amplitude_Red / Amplitude_IR),Reflects differential pulsatility in superficial vs deep vascular beds,Increase (Red amplitude drops more due to arterial supply reduction),Decrease (IR amplitude drops more due to venous return obstruction),Vascular compartment-specific perfusion indicator
Combined,Delta Absorbance Ratio,Delta_A_Ratio,Ratio of absorbance changes: (ΔA_660nm / ΔA_940nm) where ΔA = AC/DC,Optical density change ratio; basis for SpO2 calculation in pulse oximetry,Increase (Red signal reduction exceeds IR),Decrease (IR signal reduction exceeds Red),Oxygenation-independent perfusion assessment
Intensity,Pulse Wave Amplitude,Amplitude,Peak-to-trough amplitude of PPG waveform (AC component),Reflects stroke volume and arterial compliance; proportional to pulsatile blood volume change,Decrease (↓↓) - Reduced arterial inflow decreases pulsatile component,Decrease (↓) - Venous pooling dampens arterial pulsation,Primary indicator of peripheral perfusion; AUC=1.000 for Ischaemia detection
Intensity,Perfusion Index,PI,Ratio of pulsatile (AC) to non-pulsatile (DC) component: PI = (AC/DC) × 100%,Represents relative strength of arterial pulsation normalized by tissue absorption,Decrease (↓↓) - AC drops while DC remains stable,Decrease (↓) - AC reduction due to venous congestion,Normalized perfusion metric; independent of absolute light intensity
Intensity,Maximum Start Datum Difference,Max_Start_Datum_Diff,Maximum vertical distance from pulse onset baseline to waveform peak,Quantifies peak systolic expansion relative to diastolic baseline,Decrease (↓↓) - Reduced peak systolic amplitude,Decrease (↓) - Dampened systolic expansion,Alternative amplitude metric with baseline normalization
Area,Total Area Under Curve,AUC,Integral of PPG waveform over one cardiac cycle (from onset to onset),Represents total blood volume displaced during cardiac cycle,Decrease (↓↓) - Reduced stroke volume; AUC=1.000 for detection,Decrease (↓) - Reduced effective perfusion,Gold standard metric; correlates with cardiac output
Area,Systolic Area Under Curve,S_AUC,Integral from pulse onset to dicrotic notch (systolic phase only),Reflects left ventricular ejection phase and arterial compliance,Decrease (↓↓) - Impaired systolic ejection; AUC=1.000,Decrease (↓) - Reduced forward flow,Most sensitive systolic function indicator
Area,Diastolic Area Under Curve,D_AUC,Integral from dicrotic notch to next pulse onset (diastolic phase),"Reflects arterial recoil, peripheral resistance, and diastolic runoff",Decrease (↓↓) - Reduced diastolic perfusion,Decrease (↓↓) - IR: AUC=1.000; venous return obstruction,Venous congestion detection (especially in IR channel)
Area,Start Datum Area,Start_Datum_Area,Area between waveform and baseline from onset to systolic peak,Quantifies systolic expansion volume,Decrease (↓↓) - Reduced systolic volume,Decrease (↓) - Dampened expansion,Systolic volume proxy
